Depth_from_Surface_cm,Age_wmean,Ave_Density,Ave_Organics,MagSuscept_10^-5
591,33673.8,0.5048,22.54358162,3.69
592,33716.7,0.5,23.06,4.385
593,33759.7,0.5015,24.02791625,4.695
594,33803.5,0.413,24.93946731,4.79
595,33846.5,0.4585,24.44929117,5.135
596,33890.1,0.4759,23.59739441,5.9
597,33932.4,0.4813,24.64159568,5.55
598,33974.7,0.5242,26.59290347,5.07
599,34017.5,0.4394,24.60172963,4.746666667
600,34060,0.3888,25.02572016,3.786666667
601,34106.6,0.4436,24.79711452,4.23
602,34152.3,0.439,24.37357631,4.193333333
603,34195.9,0.4757,22.66134118,3.916666667
604,34240,0.4431,21.64296998,3.903333333
605,34284.5,0.4781,23.71888726,3.646666667
606,34329.2,0.3655,23.50205198,4.033333333
607,34374.4,0.423,28.53427896,4.02
608,34421,0.4315,24.10196987,4.08
609,34465.4,0.4139,24.11210437,3.463333333
610,34510.2,0.3839,22.8184423,3.66
611,34556.4,0.4002,24.63768116,3.3
612,34601.1,0.4125,22.25454545,4.293333333
613,34645.6,0.5832,19.20438957,3.643333333
614,34690.9,0.4838,19.7602315,3.866666667
615,34736.1,0.4964,20.62852538,3.776666667
616,34782.8,0.5268,20.48215642,3.953333333
617,34827.2,0.4776,19.89112228,4.4
618,34872.3,0.345,25.73913043,3.91
619,34918.2,0.4882,19.88938959,4.973333333
620,34962.4,0.4992,18.62980769,5.8
621,35006.5,0.484,20.02066116,5.746666667
622,35052.5,0.43,20.97674419,5.603333333
623,35099.3,0.4904,20.41190865,5.45
624,35144.7,0.4836,19.47890819,5.44
625,35189.8,0.4762,20.49559009,5.416666667
626,35235.7,0.4297,20.96811729,5.013333333
627,35280.1,0.4955,21.23107972,4.993333333
628,35323.2,0.4977,20.55455093,5.2
629,35369.6,0.4116,21.30709427,4.913333333
630,35415.4,0.5054,21.17134943,4.443333333
631,35460.3,0.5106,19.05601253,4.26
632,35506.9,0.4623,18.77568678,4.5
633,35552.5,0.5128,20.08580343,4.126666667
634,35596,0.4773,20.38550178,4.193333333
635,35640.9,0.4623,23.31819165,3.99
636,35685.6,0.486,23.66255144,3.376666667
637,35731.6,0.4478,21.81777579,3.393333333
